pt,country_group,n_sims,median_risk_observed,lower_95_observed,upper_95_observed,median_risk_corrected,lower_95_corrected,upper_95_corrected,n_exposed
Decreased urine concentration,Australia,1000,0.0734909906828431,0.047685185658159594,0.11035010011387023,0.43089417069273983,0.14107043211843157,1.0331596174601725,103765624
Vocalisation,Australia,1000,0.06554601871713032,0.04253003045187208,0.09842035956101938,0.3843110171043355,0.12581957459211465,0.9214666858428565,103765624
Arthritis,Australia,1000,0.06455289722141622,0.04188563605108614,0.09692914199191303,0.37848812290578504,0.12391321740132503,0.9075050693906919,103765624
Dyspnoea,Australia,1000,0.06157353273427395,0.03995245284872831,0.09245548928459398,0.3610194403101334,0.11819414582895618,0.8656202200341984,103765624
Lameness,Australia,1000,0.06157353273427395,0.03995245284872831,0.09245548928459398,0.3610194403101334,0.11819414582895618,0.8656202200341984,103765624
Urinary tract infection,Australia,1000,0.057601046751417556,0.037374875245584555,0.08649061900816855,0.33772786351593126,0.11056871706579774,0.8097737542255405,103765624
Pruritus,Australia,1000,0.05660792525570346,0.03673048084479861,0.0849994014390622,0.33190496931738067,0.1086623598750081,0.7958121377733761,103765624
Hyperthermia,Australia,1000,0.05462168226427527,0.03544169204322673,0.08201696630084951,0.3202591809202796,0.10484964549342889,0.767888904869047,103765624
Abnormal radiograph finding,Australia,1000,0.05263543927284708,0.03415290324165485,0.07903453116263678,0.30861339252317854,0.10103693111184965,0.739965671964718,103765624
Cough,Australia,1000,0.05263543927284708,0.03415290324165485,0.07903453116263678,0.30861339252317854,0.10103693111184965,0.739965671964718,103765624
Dermatitis and eczema,Australia,1000,0.05164231777713298,0.0335085088408689,0.07754331359353042,0.302790498324628,0.09913057392106002,0.7260040555125535,103765624
Hypersalivation,Australia,1000,0.04965607478570479,0.032219720039297024,0.07456087845531773,0.29114470992752695,0.09531785953948081,0.6980808226082245,103765624
Inappropriate urination,Australia,1000,0.04965607478570479,0.032219720039297024,0.07456087845531773,0.29114470992752695,0.09531785953948081,0.6980808226082245,103765624
Haematuria,Australia,1000,0.04568358880284841,0.029642142436153263,0.0685960081788923,0.26785313313332476,0.08769243077632233,0.6422343567995665,103765624
Abnormal ultrasound finding,Australia,1000,0.044690467307134316,0.028997748035367324,0.06710479060978596,0.2620302389347743,0.08578607358553272,0.6282727403474021,103765624
Collapse NOS,Australia,1000,0.044690467307134316,0.028997748035367324,0.06710479060978596,0.2620302389347743,0.08578607358553272,0.6282727403474021,103765624
General pain,Australia,1000,0.044690467307134316,0.028997748035367324,0.06710479060978596,0.2620302389347743,0.08578607358553272,0.6282727403474021,103765624
Adipsia,Australia,1000,0.04369734581142022,0.028353353634581382,0.065613573040679593,0.2562073447362237,0.0838797163947431,0.6143111238952377,103765624
Urine abnormalities NOS,Australia,1000,0.04270422431570612,0.02770895923379544,0.06412235547157324,0.25038445053767316,0.08197335920395347,0.6003495074430731,103765624
Neurological disorder NOS,Australia,1000,0.041711102819992026,0.027064564833009497,0.06263113790246688,0.24456155633912263,0.08006700201316388,0.5863878909909086,103765624
Paresis,Australia,1000,0.041711102819992026,0.027064564833009497,0.06263113790246688,0.24456155633912263,0.08006700201316388,0.5863878909909086,103765624
Proteinuria,Australia,1000,0.041711102819992026,0.027064564833009497,0.06263113790246688,0.24456155633912263,0.08006700201316388,0.5863878909909086,103765624
Isosthenuria,Australia,1000,0.03773861683713564,0.024486987229865736,0.05666626762604146,0.22126997954492048,0.0724415732500054,0.5305414251822507,103765624
Discomfort NOS,Australia,1000,0.03674549534142155,0.023842592829079797,0.05517505005693511,0.21544708534636992,0.07053521605921578,0.5165798087300862,103765624
Elevated pancreatic enzymes,Australia,1000,0.03674549534142155,0.023842592829079797,0.05517505005693511,0.21544708534636992,0.07053521605921578,0.5165798087300862,103765624
Abdominal pain,Australia,1000,0.03575237384570745,0.023198198428293862,0.053683832487828764,0.20962419114781938,0.06862885886842618,0.5026181922779217,103765624
Impaired consciousness,Australia,1000,0.03575237384570745,0.023198198428293862,0.053683832487828764,0.20962419114781938,0.06862885886842618,0.5026181922779217,103765624
